,C9,I9,C11,I11,C16,I16,I1,I2,I3,L1,L2,L3,B1,B2,B3
"MSTRG.31036",16.487557,18.810717,12.219626,11.388839,15.912766,17.079721,8.621506,8.60254,7.019356,0.255695,0.365724,0.281506,40.346739,32.017288,72.457066
"MSTRG.31040",0,0.017554,0.018285,0,0,0.015624,0.00135,0.001974,0,7.514804,5.568379,7.039206,0.095112,0.74106,0.231722
"MSTRG.31041",0.189881,0.085276,0.138494,0.131851,0.096899,0.170662,0.06386,0.160694,0.164057,0.040968,0.025168,0.007612,42.031463,50.130207,50.246505
"MSTRG.31046",4.950232,5.738519,6.527097,9.389668,5.510089,6.437501,3.041378,12.321554,2.883346,5.961602,6.224164,5.452973,1.979862,2.481839,1.934183
"MSTRG.31048",69.708984,106.428993,112.256699,101.38868,89.018036,86.628616,62.58049,73.862335,50.873089,51.498566,47.113186,49.211319,107.072678,103.452377,138.937973
"MSTRG.31049",59.61488,47.205303,63.644225,82.415511,49.920493,56.937723,21.54774,31.418226,17.743983,46.2107,42.020372,41.685262,20.572786,26.775711,29.791801
"MSTRG.31051",5.403554,5.673084,3.740197,3.996878,4.720833,5.859505,1.433962,1.844987,1.204475,1.547632,1.396337,1.033819,6.24056,8.54471,8.87717
"MSTRG.31052",8.909364,9.947954,7.663119,8.653609,9.002855,10.17372,6.085139,5.687421,5.070424,3.806945,4.102274,3.186404,4.673401,4.926007,8.026753
"MSTRG.31057",3.103863,3.704917,3.672518,3.902177,4.211098,5.022513,3.017013,6.113541,3.660915,12.803257,27.472114,20.066633,15.608973,16.755811,18.782957
"MSTRG.3106",0.013392,0.006772,0.029574,0.037032,0.007648,0.006621,0.049275,0.090612,0.052265,0.006303,0,0,2.027511,2.262075,2.281371
"MSTRG.31060",6.780897,7.406476,5.126132,6.374695,5.736039,5.809396,3.987705,5.604751,4.199633,4.061781,4.311031,3.738654,7.160562,10.89149,13.308661
"MSTRG.31061",2.849396,3.234904,1.896441,2.357561,2.648358,3.192211,1.265406,2.675943,0.98907,0.632889,0.550617,0.53583,0.370144,0.452748,0.398373
"MSTRG.31062",3.740537,3.17515,2.298957,2.528003,2.131845,2.160126,0.697627,1.232285,0.766509,0.929661,0.601558,0.695415,1.520677,2.810429,2.062164
"MSTRG.31064",0.659273,0.982309,1.256958,1.584386,0.238068,0.500943,0.106765,0.216795,0.349167,1.500637,1.397067,1.775151,1.070343,1.994958,2.316568
"MSTRG.31065",0,0,0.010491,0,0,0,0.013923,0.100637,0,0,0,0.078703,4.138064,3.817578,4.987337
"MSTRG.31067",13.324893,12.629567,11.155654,13.681561,12.25913,14.38293,9.274737,14.067714,6.985979,15.436699,14.079541,14.653085,6.152033,8.219417,12.201122
"MSTRG.31068",4.907478,5.947465,4.57404,4.17661,4.853221,6.029688,2.886962,4.236109,2.803125,4.953234,3.257049,4.334605,3.348968,4.565349,7.253409
"MSTRG.31069",0.238862,0.026684,0.121157,0.093678,0.187844,0.045996,1.605546,2.540445,1.836342,1.41759,1.329744,1.983315,0.252046,0.293823,0.035685
"MSTRG.31071",8.812236,8.643655,10.554879,8.49255,6.406956,5.673892,7.885002,7.162675,6.991398,7.705334,7.656394,6.178868,4.115656,9.330272,7.380383
"MSTRG.31072",0.354607,0.177237,0.031984,0.257792,0.229152,0.335308,0.020549,0.042425,0.004431,3.016881,1.980148,3.686682,0.771788,1.043301,0.417482
"MSTRG.31075",2.839446,4.329628,1.848102,1.710679,5.402597,4.390553,0.173021,0.327356,0.208146,3.318908,1.488119,1.700271,0.027627,0,0.170918
"MSTRG.31078",8187.407593,8282.740601,7876.534363,7788.823242,8550.156982,8031.181031,4996.396667,10684.244385,3832.776978,11176.974112,8635.004447,9709.385499,95900.140228,226091.477928,88858.213623
"MSTRG.31079",1037.018433,1069.827026,1190.894531,1133.730835,735.455505,710.423767,2229.681641,3762.630371,1443.787354,3193.737305,2631.877441,2817.036621,4652.686523,5089.599609,2664.99585
"MSTRG.3108",22.208103,25.516114,24.614508,23.213017,18.122622,18.933103,5.946667,9.61202,4.667861,15.737489,17.491096,16.248583,25.61524,28.184344,36.406539
"MSTRG.31080",1659.192383,1630.408813,1672.939331,1578.803955,844.260986,824.027771,1934.552979,3462.67749,1281.948608,3528.830078,2827.768311,2619.988281,1571.067383,2915.856201,1002.443787
"MSTRG.31081",3021.962402,3108.967041,3368.671875,3256.70166,1028.575928,934.721985,8449.917969,12357.144288,5075.953613,5502.887207,3188.42334,4721.79834,4725.936523,11522.339844,4751.049805
